player_id,date,market_value_in_eur,current_club_name,current_club_id,player_club_domestic_competition_id,year
29559,2005-06-14,300000,CF América,3631,MEX1,2005
20506,2006-06-11,600000,Atlas Guadalajara,8590,MEX1,2006
30677,2007-10-04,3000000,Racing Club,4035,MEX1,2007
51046,2007-11-19,2000000,UNAM Pumas,2407,MEX1,2007
29559,2007-12-17,3500000,CF América,3631,MEX1,2007
29559,2008-01-11,4750000,CF América,3631,MEX1,2008
37934,2008-01-25,2850000,Club Necaxa,1146,MEX1,2008
53180,2008-01-25,2000000,CD Cruz Azul,3711,MEX1,2008
67917,2008-02-05,150000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
30677,2008-03-31,3750000,CA River Plate,4035,MEX1,2008
67917,2008-06-04,1300000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
67917,2008-06-21,1600000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
67917,2008-08-08,2000000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
67917,2008-10-10,3000000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
29559,2008-12-02,5000000,CF América,3631,MEX1,2008
37934,2008-12-02,4000000,Club Necaxa,1146,MEX1,2008
63333,2008-12-02,500000,CD Cruz Azul,3711,MEX1,2008
71401,2008-12-02,100000,CF Pachuca,4035,MEX1,2008
67917,2008-12-12,4700000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
30677,2008-12-20,3000000,CA River Plate,4035,MEX1,2008
67917,2008-12-20,4000000,Grêmio Foot-Ball Porto Alegrense,7055,MEX1,2008
51046,2009-01-08,3500000,AZ Alkmaar,2407,MEX1,2009
67917,2009-02-26,4000000,Spartak Moscow,7055,MEX1,2009
102699,2009-03-15,100000,Unknown,7055,MEX1,2009
105899,2009-03-30,25000,Club Atlético Lanús II,7055,MEX1,2009
30677,2009-05-14,2800000,CA River Plate,4035,MEX1,2009
29559,2009-06-08,6000000,CF América,3631,MEX1,2009
55666,2009-06-09,1750000,Santos Laguna,1403,MEX1,2009
63333,2009-06-09,800000,CD Cruz Azul,3711,MEX1,2009
102699,2009-06-09,200000,Unknown,7055,MEX1,2009
29559,2009-06-15,8000000,CF América,3631,MEX1,2009
30677,2009-10-06,2500000,CA River Plate,4035,MEX1,2009
105899,2009-10-06,25000,Club Atlético Lanús II,7055,MEX1,2009
53180,2009-12-17,2200000,CD Cruz Azul,3711,MEX1,2009
55666,2009-12-17,2250000,Santos Laguna,1403,MEX1,2009
71401,2009-12-17,300000,CF Pachuca,4035,MEX1,2009
51046,2010-01-17,4000000,AZ Alkmaar,2407,MEX1,2010
30677,2010-01-21,2200000,CA River Plate,4035,MEX1,2010
105899,2010-04-02,50000,Club Atlético Lanús,7055,MEX1,2010
67917,2010-04-15,3000000,Clube de Regatas Vasco da Gama,7055,MEX1,2010
30677,2010-04-20,1800000,CA River Plate,4035,MEX1,2010
105899,2010-04-20,700000,Club Atlético Lanús,7055,MEX1,2010
53180,2010-05-17,1500000,CD Cruz Azul,3711,MEX1,2010
63333,2010-05-17,600000,CF América,3631,MEX1,2010
67917,2010-06-06,2500000,Clube de Regatas Vasco da Gama,7055,MEX1,2010
55666,2010-06-21,2500000,Santos Laguna,1403,MEX1,2010
